movieTitle,year,description,genre
 Just Mercy ,2020,World-renowned civil rights defense attorney Bryan Stevenson recounts his experiences and details the case of a condemned death row prisoner whom he fought to free.,Documentary
 To All the Boys I've Loved Before 2 ,2020,Sequel to TO ALL THE BOYS I'VE LOVED BEFORE (2018).,Romance
Indiana Jones 5,2020,Basic plot details are being worked on at this time. The film won't see completion until 2012.,Adventure
S.C.O.O.B.,2020,"Scooby-Doo and his crime-busting pals will soon embark on a brand new comedy adventure, as Warner Bros. Pictures prepares to bring the beloved Hanna-Barbera franchise back to theaters on September 21, 2018.",Animation
In the Heights,2020,"A feature version of the Broadway musical, in which a bodega owner has mixed feelings about closing his store and retiring to the Dominican Republic after inheriting his grandmother's fortune.",Drama
 Toff Guys ,2020,A very British drug lord tries to sell off his highly profitable empire to a dynasty of Oklahoma billionaires.,Action
A Quiet Place 2,2020,A sequel to the smash hit horror movie A Quiet Place.,Horror
 Coming 2 America ,2020,Akeem must venture back to the States to find his long-lost son and apparent heir to the throne of Zamunda.,Comedy
Monster Hunter,2020,"Plot unknown. Feature film based on the video game series by Capcom, in which the player takes the role of a hunter in a fantasy environment and completes quests by hunting out specific kinds of monsters to kill or capture.",Thriller
Ghostbusters 3,2020,A fourth Ghostbusters movie is happening with Channing Tatum and the Russo Brothers that will be shot simultaneously with the all-female reboot.,Comedy
Minamata,2020,"Minamata is based on the book by Aileen Mioko Smith and W. Eugene Smith and adapted by David K. Kessler (A Hard Day’s Day). The redemptive thriller, a real-life David versus Goliath story, pitts Smith against a powerful corporation responsible for poisoning the people of Minamata - Japan in 1971. Minamata is an extremely moving story of how one man's powerful photograph impacted the world to take action.With the glory days of World War II far behind him Smith (Depp) has become a recluse,...",Drama
Army of the Dead,2020,"Set in a quarantined Las Vegas in the not-too-distant future, ""Army"" revolves around a father who tries to save his daughter from imminent death in a zombie-infested world.",Action
Waiting for the Barbarians,2020,A Magistrate working in a distant outpost begins to question his loyalty to the Empire.,Documentary
Fantastic Beasts and Where to Find Them 3,2020,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,Fantasy
The Six Billion Dollar Man,2020,"The story follows military officer, Steve Austin, who becomes part of a top secret government program after a horrific accident leaves him near death.  With the help of cutting edge technology, Steve is brought back to life with extraordinary strengths, making him the world’s first truly bionic man.",Action
Disney's the Little Mermaid,2020,Disney is planning a live-action take on its classic animated movie The Little Mermaid.,Fantasy
Monster Problems,2020,A young man learns how to survive a monster apocalypse with the help of an expert hunter.,Adventure
Pirates of the Caribbean 6,2020,Pirates of the Caribbean 5 & 6 will shoot back-to-back. No plot details have been released at this time.,Adventure
Luna,2020,The action film revolves around a private expedition to the moon and the race for lunar colonization.,Action
Let Him Go,2020,"Following the loss of their son, retired sheriff George Blackledge (Costner) and his wife Margaret (Lane) leave their Montana ranch to rescue their young grandson from the clutches of a dangerous family living off the grid in the Dakotas, headed by matriarch Blanche Weboy. When they discover the Weboys have no intention of letting the child go, George and Margaret are left with no choice but to fight for their family.",Drama
Greyhound,2020,"Greyhound centers on a career Naval officer who is finally given command of his first ship, as he tries to prove he belongs in command.",Drama
Fantasy Island,2020,A feature adaptation of the popular '70s TV show about a magical island resort,Fantasy
I'm Thinking of Ending Things,2020,An unexpected detour causes a woman who is trying to figure out how to break up with her boyfriend to rethink her life.,Horror
G.I. Joe 3,2020,The battle against C.O.B.R.A. continues in this third installment of the popular Hasbro franchise based on the comic book and cartoon series from the 80s.,Action
The SpongeBob SquarePants Movie: It’s a Wonderful Sponge,2020,This is the third feature film in the 'SpongeBob SquarePants' franchise based on the popular TV series.,Animation
Without Remorse,2020,A former Navy SEAL turned CIA operative seeks revenge after his girlfriend is killed by a Baltimore drug lord.,Action
Greenland,2020,Greenland is about one family’s fight for survival in the face of a cataclysmic natural disaster,Thriller
Peter Rabbit 2,2020,"A sequel to the hit family movie Peter Rabbit, a feature adaptation of Beatrix Potter's classic tale of a rebellious rabbit trying to sneak into a farmer's vegetable garden.",Family
13 Fanboy,2020,A slasher is hunting down former Friday the 13th stars and killing them one by one.,Horror
1984,2020,A man struggles to keep his autonomy under an oppressive regime that monitors his every move.,Drama
2nd Born,2020,A sequel to 1st Born that will feature a robot in the lead.,Comedy
9 to 5 Reboot,2020,"The story will follow a new trio of young women, who are dealing with the same issues of sexism and male chauvinism that Doralee Rhodes (Dolly Parton), Violet Newstead (Lily Tomlin) and Judy Bernly (Jane Fonda) were putting up with nearly 40 years ago in the workplace. This trio turns to Doralee, Violet and Judy for help in navigating through the workplace, while hatching a scheme to get even with their male bosses. No director is attached at this time, but Shawn Levy is attached to produce...",Comedy
A Babysitter’s Guide to Monster Hunting,2020,"The book is about an apathetic babysitter who doesn’t like kids very much and is horrified to discover that the child she is sitting for has been stolen by monsters. It’s her responsibility along, with a secret society of baby sitters who do battle against the creatures of the night, to save the child and the world from things that go bump in the night.",Family
AMA (Ask Me Anything),2020,"AMA (Ask Me Anything) centers on an online interview session with an entertainment publicist and a music superstar who is on the rise. The event is widely publicized as a candid “ask me anything” opportunity. However, a mysterious hacker who takes over the forum changes things dramatically as they systematically violate the privacy of the participants, revealing shocking hidden secrets from their past.",Thriller
American Girl Doll,2020,Hasbro and MGM have teamed up for a new movie about the American Girl doll toyline.,Family
Animosity,2020,"One day the world is plunged into chaos when animals suddenly wake up. They start thinking. They start talking. They start taking revenge. In the midst of the turmoil is Jesse, an 11-year-old girl, and her devoted dog, Sandor. One year after the incident, Jesse and Sandor begin a cross-country journey from New York to San Francisco, to find the only person who might be able to protect and save them",Thriller
Archie in Bollywood,2020,Archie Comics and Graphic India have announced plans to develop a Bollywood-style live action film based on the Archie Comics characters.,Comedy
Atomic Blonde 2,2020,"A sequel to the hit action thriller that followed sensual and savage Lorraine Broughton, the most elite spy in MI6, an agent who's willing to use all of her lethal skills to stay alive during an impossible mission.",Action
Backdraft 2,2020,A sequel to Ron Howard's hit drama about firefighters and the families they protect.,Drama
Bad Moms' Moms,2020,"The upcoming film, titled Bad Moms’ Moms, will star Cheryl Hines, Susan Sarandon and Christine Baranski as the mothers of the original Bad Moms, having made their debut in the series previous installment, A Bad Moms Christmas. Jon Lucas and Scott Moore, writer-directors on the first two “Bad Moms” films, will return for the project.",Comedy
Baywatch 2,2020,A sequel to the comedy adaptation of the popular hit series Baywatch.,Comedy
Big Shark,2020,Tommy Wiseau battles a giant great white in his second directorial featue after the room.,Horror
Blood on the Tracks,2020,A movie based on the classic Bob Dylan album Blood on the Tracks from Suspiria and Call Me By Your Name director Luca Guadagnino.,Drama
Brian de Palma / Harvey Weinstein Movie,2020,Acclaimed director Brian De Palma is tackling the sexual assault allegations aimed at Harvey Weinstein in a new dramatic thriller told from a different point of view.,Drama
Brothers,2020,"Story details are currently being kept under wraps, but the movie will apparently resemble another classic 80s comedy that also featured an unlikely duo of stars who learned they were related to one another.",Comedy
Call Me by Your Name 2,2020,A sequel to the Oscar nominated drama Call Me By Your Name.,Drama
Candyman,2020,Get Out mastermind Jordan Peele is considering taken on a remake of the horror classic Candyman.,Horror
Cereal Monsters Movie,2020,"A movie based on the Cereal Monsters which include FrankenBerry, BooBerry, Count Chocula, Fruit Brute and Yummy Mummy.",Animation
Christopher Nolan Movie 2020,2020,Christopher Nolan's next movie. No Details have been released yet.,Drama
Clueless,2020,A reboot of the classic 90s comedy Clueless from the producer of Girls Trip.,Comedy
Co-Parenting,2020,"Co-Parenting centers on Kevin Hart's character, who plays a stay-at-home dad who takes care of the kids while his CEO wife is busy being the breadwinner of the family. Things get ugly when his wife decides she wants a divorce and kicks Hart out of the house, putting him in a state of publicly visible disarray. It then devolves into an ugly divorce and custody battle for the children.",Comedy
Coyote Vs. Acme,2020,Wile E. Coyote takes center stage in his very own feature film.,Animation
Crazy Rich Asians 2,2020,A sequel to the hit 2018 romantic comedy Crazy Rich Asians.,Comedy
Creepy Crawlers,2020,A new movie based on the popular Creepy Crawlers toys and animated series. No plot details have been announced yet.,Horror
Creighton Duke Movie,2020,A spin-off of Jason Goes to Hell that follows bounty hunter Creighton Duke.,Horror
Da 5 Bloods,2020,The movie will center on a Vietnam veteran's who return to the jungle to find their lost innocence.,Action
Dance Dance Revolution,2020,A thrilling new movie based on the Dance Dance revolution video game.,Fantasy
Danger Girl,2020,"A big screen version of the Wildstorm comic book ""Danger Girl,"" created by J. Scott Campbell and Andy Hartnell. Described as ""Kill Bill"" meets ""Raiders of the Lost Ark"" with the ""team"" element of ""Mission: Impossible"" - the book is a smart, hip, fun and beautifully drawn love letter to the best action/adventure movies of the last 30 years. It is the story of a lost girl who, through this incredibly kick-ass adventure, finds her destiny, comes of age and helps save the world.",Action
Dear David,2020,A ghost story that was told through a series of Tweets becomes a big screen tale of horror.,Horror
Deeper,2020,A deep-sea dive turns into an unexpected psychological exploration for a former astronaut who signed up for the mission.,Drama
Direct to Video,2020,A Documentary that tracks the straight to video horror releases from the 90s.,Documentary
Enter the Dragon,2020,A martial-arts expert is determined to help capture the narcotics dealer whose gang was responsible for the death of his sister. He enters a kung fu competition in an attempt to fight his way to the dealer's headquarters with the help of some friends in this remake of the Bruce Lee classic from the co-director of John Wick and the man who helmed Deadpool 2.,Action
Escape Room 2,2020,Six more adventurous strangers travel to a mysterious building to experience the escape room in an all-new sequel to the horror hit.,Horror
Eurovision,2020,"Will Ferrell is co-writing the comedy with Andrew Steele, which is set around the Eurovision Song Contest, the longest running annual international TV song competition that is ripe for parody.",Comedy
Everything Must Go,2020,"Pitched as Clerks for a new generation, the project stars Bobby Hall (also known as rapper Logic), who is co-writing with Lisa McQuillan (black-ish, Dr. Ken).",Comedy
Fear,2020,"A remake of the thriller starring Mark Wahlberg and Reese Witherspoon. When 16-year-old Nicole Walker (Reese Witherspoon) meets 23-year-old David McCall (Mark Wahlberg) at a Seattle nightclub, she falls in love. David is exciting and charming, and despite the wide age gap, he wins over Nicole's family -- except for her workaholic father, Steven (William Petersen), who's suspicious of David from the start. His concerns are realized when David turns out to be a violent sociopath who sees Nicole...",Thriller
Fox News Movie,2020,"The untitled project is described as an ensemble pic, with Ailes and others who were involved at Fox News during his reign said to be major players in the piece. Characters included are likely to be Carlson, former anchor Greta Van Susteren, media mogul Rupert Murdoch and fired host Bill O'Reilly.",Drama
Free Guy,2020,"In Free Guy, Reynolds will similarly play the role of an everyman bankteller stuck in a boring daily routine, only to discover he’s nothing more than a background character in a video game. Described as a “rather brutal open world, action-adventure video game,” we’re picturing this being something along the lines of Grand Theft Auto. However, it comes down to Reynolds’ character to save his world when its existence is threatened, and the video game character must step out of the...",Action
Friday the 13th,2020,Reboot of the classic horror film which will premiere forty years after the original.,Horror
Friday the 13th: Vengeance,2020,A fully funded fan film that serves as a 'true' sequel to Jason Lives.,Horror
Ghost Dog 2,2020,A sequel to the underground cult hit Ghost Dog which starred Forest Whitaker.,Drama
Grumpy Old Men,2020,A remake of the classic comedy Grumpy Old Men starring Eddie Murphy and directed by Tim Story.,Comedy
House Party,2020,"A new House  Party, which will revive the Kid ’n Play–fronted New Line comedy franchise that started in 1990 and was followed by sequels in 1991 and 1994. Atlanta’s Stephen Glover and Jamal Olori will pen the screenplay.",Comedy
Hunter,2020,"{Hunter} centers on a man named, unsurprisingly, Nathaniel Hunter, who is an expert tracker that is recruited by the military desperately that needs him for a mission. An inhuman beast is loose somewhere in the Arctic Circle. The half-human abomination was made by a renegade agency and it is already wreaking havoc. It’s up to this expert tracker to stop the beast, or else it will present a huge danger to a great many people. On the one hand, it’s easy to see why John Rambo would be the man...",Horror
Jason Bateman Jon Cena Netflix Action Comedy,2020,Jason Bateman will direct John Cena in a new action comedy for Netflix,Comedy
Jeepers Creepers 4,2020,The fourth chapter in the Jeepers Creepers horror saga has already been written.,Horror
Jennifer Kent Untitled Horror Movie,2020,Guillermo Del Toro and Jennifer Kent team up for an untitled horror movie. No plot details are known at this time.,Horror
John Henry and the Statesmen,2020,"Netflix has secured the rights to an original pitch from writer Tom Wheeler (The Lego Ninjago Movie) currently entitled John Henry and The Statesmen, developed with Hiram Garcia, President of Production (Seven Bucks Productions). The film will be directed by Jake Kasdan and star Dwayne Johnson in a follow up to their incredibly successful Jumanji: Welcome to the Jungle.",Adventure
Judd Apatow Pete Davidson Comedy,2020,"Judd Apatow has set his next feature film, an untitled comedy that will star Saturday Night Live castmember Pete Davidson. It will reflect a storyline that mirrors the comic’s own life, including his firefighter father on 9/11. It’s Apatow’s first film since Trainwreck, a vehicle crafted for Amy Schumer.",Comedy
Killer's Game,2020,"After learning he is dying, a hit man puts out a hit on himself, but when he learns his doctor made a mistake and he's not dying, he must now fight for his life against the world's top assassins while protecting his lover in the process.",Action
Lady Business,2020,"The film tells the story of two women who want to become entrepreneurs but struggle to do so because of their male-dominated world, therefore they come up with the ingenious plan of inventing a male partner to help them thrive.",Comedy
 Larry Cherry ,2020,A person with an identity problem goes on a wild adventure to disocver himself.,Drama
Last Night in Soho,2020,A psychological horror-thriller in the vein of Don’t Look Now and Roman Polanski’s Repulsion.,Thriller
Lilo & Stitch,2020,A live-action retelling of the classic Disney cartoon.,Comedy
Lionheart 2,2020,A sequel to the original that followed an Ex-French Soldier begins participating in underground street fights in order to make money for his brother's family.,Action
Macbeth,2020,"{Macbeth}, in its simplest terms, centers on a Scottish Lord who receives a prophecy from a trio of witches who predict that he will become king. His power hungry wife then urges him to seize the opportunity and take the throne. So, he murders King Duncan in his sleep and frames the guards for the crime. A bloody chain of events follows. The play has been adapted a number of times for the big screen, starting with Orson Welles’ 1948 movie. Most recently, Michael Fassbender and Marion...",Drama
Madagascar 4,2020,The Zoo animals return for another adventure in this all-new animated feature film from DreamWorks.,Animation
Master and Commander 2,2020,A second voyage for the cult drama Master and Commander starring Russell Crowe.,Adventure
Muscle,2020,Vin Diesel is bringing his Muscle to a new action comedy that will returned into a franchise.,Action
My Best Friend's Exorcism,2020,"The year is 1988. High school sophomores Abby and Gretchen have been best friends since fourth grade. But after an evening of skinny-dipping goes disastrously wrong, Gretchen begins to act…different. She’s moody. She’s irritable. And bizarre incidents keep happening whenever she’s nearby. Abby’s investigation leads her to some startling discoveries—and by the time their story reaches its terrifying conclusion, the fate of Abby and Gretchen will be determined by a single question: Is...",Horror
Nicktoons,2020,"A new feature film that will use Nicktoons characters from Rugrats, Ren & Stimpy, Rocko’s Modern Life, Aaahh! Real Monsters, and The Angry Beavers.",Animation
Night of the Living Dead Part II,2020,A true sequel to the original Night of the Living Dead that has been officially licensed.,Horror
 NXIVM Sex Cult Documentary ,2020,A documentary on the Hollywood NXIVM Sex Cult from the makers of The Square.,Documentary
Odin,2020,"Odin is a revenge thriller in the vein of John Wick, if it was Wick who was murdered leaving the dog to seek vengeance against the killers",Thriller
Only the Lonely,2020,"A science fiction romance to be mark the directorial debut of Stefan Grube, the editor of 10 Cloverfield Lane, Tully, The Front Runner and the Abrams-directed Star Wars IX. Script is to be written by Dylan Meyer (XOXO) & Peter Glanz (The Longest Week).",Romance
Onward,2020,"Set in a suburban fantasy world, Disney•Pixar’s “Onward” introduces two teenage elf brothers who embark on an extraordinary quest to discover if there is still a little magic left out there.",Animation
Over the Moon,2020,"A CG musical adventure about a girl who builds a rocket ship to travel to the moon in order to prove to her father that a legendary Moon Goddess really exists.  When she gets to the “other side” she unexpectedly discovers a whimsical world filled with fantastical creatures - some of whom threaten her and others who ultimately help her find her way home. Directed by Glen Keane (The Little Mermaid, Aladdin, Beauty and the Beast), written by Audrey Wells (Under the Tuscan Sun, George of the...",Animation
Paris,2020,The Chainsmokers are turning their hit single into a movie through their new production banner.,Drama
Payline,2020,A small town casino turns into a battleground after two groups of criminals attempt to rob it on the same night.,Thriller
Peter Jackson Beatles Documentary,2020,Peter Jackson is making a new Beatles documentary on the making of the iconic album Let It Be.,Documentary
Phantom of the Opera,2020,A new Phantom of the Opera movie has been announced as part of Universal Picture's Dark Universe.,Horror
Queen for a Day,2020,"The story is based on the real-life happenings that came as the result of a contest Warner Bros. cooked up in order to promote Prince’s movie Under the Cherry Moon, which served as his follow-up to Purple Rain. They decided to award one lucky fan a date with the legendary rock icon on MTV which, at the time, was in its relative infancy but was already immensely popular. The Win a Date With Prince contest awarded the 10,000th caller the date and that caller was a woman by the name of Lisa...",Comedy
Rugrats Live-Action Movie,2020,The Rugrats are getting their first bog screen live-action movie from Paramount Pictures.,Comedy
Ruin,2020,The film follows a nameless ex-Nazi captain who navigates the ruins of post-WWII Germany determined to atone for his crimes during the war by hunting down the surviving members of his former SS Death Squad.,Thriller
Sesame Street Movie,2020,The Sesame Street gang is headlining to the big screen in an all-new adventure.,Comedy
Seth Rogen Pickle Movie,2020,"The story sees a young man by the name of Herschel Greenbaum, who works at a pickle factory in the early 1900s. One day he falls into a factory pickle barrel and, as stated previously, he reemerges 100 years later in Brooklyn.",Comedy
Snake Eyes,2020,The silent but deadly warrior Snake Eyes is getting his own {G.I. Joe} spin-off movie.,Action
Super Mario Bros.,2020,An animated movie based on the popular Super Mario Bros. video games from Nintendo.,Animation
Terrifier 2,2020,A sequel to Terrifier which followed a maniacal clown who terrorizes three young women on Halloween night and everyone else who stands in his way.,Horror
The Banana Splits,2020,"In the upcoming horror thriller, a boy named Harley and his family (brother Austin, mother Beth and father Mitch) attend a taping of The Banana Splits TV show, which is supposed to be a fun-filled birthday for young Harley and business as usual for Rebecca, the producer of the series. But things take an unexpected turn - and the body count quickly rises. Can Harley, his mom and their new pals safely escape?",Horror
The Beastlies,2020,"A new series of movies, TV shows, books and toys coming from producer J.J. Abrams and Mattel.",Family
The Beasts of Blood Island,2020,"With a winning formula that has existed in Horror, Science Fiction and Fantasy since Mary Shelly wrote Frankenstein, H.G. Well's wrote The Island of Dr. Moreau, and H.P. Lovecraft wrote Reanimator, The Beasts of Blood Island will prove that old monsters never die... they always come back.",Horror
The Collector 3,2020,The third installment in The Collector Series. No details revealed at this time.,Horror
The Dark & the Wicked,2020,It follows two siblings who are summoned back to the family farm to await the inevitability of their father’s death. What initially appears to be a timeless ritual of loss and remembrance turns out to be something very different.,Horror
The French Dispatch,2020,Wes Anderson's 10th movie will be shot in France in 2019.,Comedy
The French Quarter Will Not Be Spared,2020,A vampire movie set during Hurricane Katrina from {The Shallows} writer.,Horror
The Guilty,2020,A remake of the 2018 Danish thriller of the same name,Thriller
The Inheritance,2020,"Inheritance explores what happens when the patriarch of a wealthy and powerful family suddenly passes away, leaving his wife and daughter with a shocking secret inheritance that threatens to unravel and destroy their lives.",Drama
The Invisible Man,2020,"""The Invisible Man,"" a new take on the H.G. Wells classic. Brian Grazer will produce. Conceived as a sequel to Wells' original tale, the story centers on a British nephew of the original Invisible Man. Once he discovers his uncle's formula for achieving invisibility, he is recruited by British intelligence agency MI5 during WWII.",Horror
The Loch,2020,"Marine biologist Zachary Wallace once suffered a near-drowning experience in legendary Loch Ness, and now, long-forgotten memories of that experience have begun haunting him. The truth surrounding these memories lies with Zachary’s estranged father, Angus Wallace, a wily Highlander on trial for murder. Together the two plunge into a world where the legend of Loch Ness shows its true face.",Horror
The Long Walk,2020,"The story is set in a future dystopian version of America that is ruled by an authoritarian leader. Every year, the country holds an annual walking contest where 100 teenagers most keep walking under strict rules until only one is left standing, with the winner receiving a sizable prize. The book follows a 16-year-old walker named Raymond Garraty and the other teenagers in his group, some who are good, some bad and some with mysterious agendas.",Thriller
 The Loud House ,2020,"Lincoln Loud is an eleven-year-old boy who lives with ten sisters. With the help of his right-hand man Clyde, Lincoln finds new ways to survive in such a large family every day.",Family
The Lovebirds,2020,"On the brink of breaking up, a couple gets unintentionally embroiled in a bizarre (and hilarious) murder mystery. As they get closer to clearing their names and solving the case, they need to figure out how they, and their relationship, can survive the night.",Comedy
The Owners,2020,"The story takes place in rural England during the early 1990s. Childhood friends Nathan and Terry, broke and on the scrap heap at 20, are spurred on by an out-of-town sociopath named Gaz to rob Huggins, the elderly local doctor and his wife. Nathan’s girlfriend Mary (Williams) is dead against the plan but the lads are set – the doctor’s house is isolated, there’s a safe full of cash, no none will be home – it’s their way out of the world they’ve been born into. But the Huggins...",Thriller
The Patient Who Nearly Drove Me Out of Medicine,2020,The story is about an idealistic young doctor who tries to solve a mystery and heal its most difficult patient,Horror
The River at Night,2020,"Stifled by a soul-crushing job, devastated by the death of her beloved brother, and lonely after the end of a 15-year marriage, Wini is feeling vulnerable. So when her three best friends insist on a high-octane getaway for their annual girls’ trip, she signs on, despite her misgivings. What starts out as an invigorating hiking and rafting excursion in the remote Allagash Wilderness soon becomes an all-too-real nightmare; a freak accident leaves the women stranded, separating them from their...",Thriller
The Seven Sisters of Scott County,2020,"Courtney Hoffman (Good Time Girls) is set to write and direct her original film about moonshine, trucking and sisterhood.",Drama
The Soviet Sleep Experiment,2020,"""The Russian Sleep Experiment"" is the name of an Internet horror story and urban legend – a Creepypasta – written by an unknown author. It tells the tale of five test subjects being exposed to an experimental sleep-inhibiting stimulant in a Soviet-era scientific experiment.",Horror
The Steps,2020,"A twist on a possession story. Blair Butler will write the project, based on an original idea by director Stefan Grube.",Horror
The Willoughbys,2020,"a highly stylized CG animated feature film currently in production with BRON Animation in Vancouver from writer/director Kris Pearn (Cloudy With A Chance of Meatballs 2). When the four Willoughby children are abandoned by their selfish parents, they must learn how to adapt their old-fashioned values to the contemporary world in order to create a new and modern family. Based on the book by Newbery Award-winning author, Lois Lowry. Starring Ricky Gervais, Maya Rudolph, Will Forte, Martin Short,...",Animation
There's Someone Inside Your House,2020,A teenage girl is troubled by a series of murders occurring at her high school.,Horror
They Hear It,2020,"The next horror experience from the mastermind that gave us It Follows, David Robert Mitchell.",Horror
Three Thousand Years of Longing,2020,Director George Miller will make this his next movie before heading back to the world of Mad Max.,Drama
Train to Busan Remake,2020,A remake of the popular Korean zombie thriller Train to Busan.,Horror
Tremors 7,2020,The seventh and possibly final Tremors movie starring Michael Gross as Burt Gummer.,Horror
Trick,2020,"The story centers on an elusive serial killer, who descends upon a small town annually. He is responsible for gruesome murders year after year, each seemingly unrelated. No one believes this could be the same killer. Epps will be playing the lead role of Detective Denver who has faced Trick once before, having –shot and killed him. Or so everyone keeps telling him. However, Denver knows Trick is still out there, and he's coming back for revenge.",Horror
Trick 'r Treat 2,2020,"At the October 29th, 2013 special fan screening of the cult horror classic TRICK ‘R TREAT hosted by Legendary, the film’s iconic character, Sam, and director, Michael Dougherty, stole the show by announcing a sequel during the Q&A session. Other panel participants included two of the film's stars Dylan Baker and Brian Cox, as well as a surprise appearance by producer Bryan Singer.",Horror
Unboxing,2020,The plot centers on a mischievous 11-year-old YouTube star who unboxes her father’s secret safe as a stunt for her channel and unleashes the treacherous Puck and his band of evil tricksters on a small town.,Horror
Untitled Aretha Franklin Biopic,2020,"A biopic centering on the life of The Queen of Soul, Aretha Franklin.",Drama
Untitled Dan Scanlon Pixar Movie,2020,"Director Dan Scanlon, who helmed Pixar’s “Monsters University,” joined Lasseter to share a few details about an all-new original feature film currently in production at Pixar Animation Studios. According to Scanlon, who lost his father at a very young age, the film is inspired by the question he’s always asked: who was my father? The story is set in a world with no humans—only elves, trolls and sprites—“anything that would be on the side of a van in the ’70s,” said the...",Animation
 Untitled Disney Animation ,2020,No details have been revealed for this feature length animated project.,Animation
Untitled Jennifer Lawrence A24 Movie,2020,It's an intimate film that wants to be close to the bone and wants to be quite personal.,Thriller
Untitled Megan Amram,2020,"Megan Amram (The Good Place and Silicon Valley) is penning her original concept, described as a female-driven horror allegory.",Horror
V.F.W,2020,A horror movie from Fangoria that is being described as The Wild Bunch Meets The Living Dead.,Horror
Vivo,2020,Lin-Manuel Miranda will write music and songs for a new animated movie coming from Sony Pictures.,Animation
Waldo,2020,"Waldo introduces a new and compelling hero in disgraced former LAPD detective Charlie Waldo, currently living the life of a minimalist in the woods. His quiet life comes to a startling halt when he is roped back into working as a private eye to investigate the murder of an eccentric television star’s wife. Filming is set to commence in Q1 of next year.",Action
Wanted 2,2020,"For ""Wanted 2,"" the creative team is working on the challenge of continuing the story after most of the principal characters ended the original in no position for an encore.The first film was designed as a potential franchise.",Action
Wendell and Wild,2020,"Wendell and Wild ollows two demon brothers (Jordan Peele and Keegan-Michael Key) who must square off against their arch-rival, the “demon-dusting nun” Sister Helen and her two goth acolytes, teenagers Kat and Raoul.",Animation
White Zombie,2020,"A remake of the classic 1932 thriller. A young man turns to a witch doctor to lure the woman he loves away from her fiancé, but instead turns her into a zombie slave.",Horror
